activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
7323,2,574,89,78,95,10207,269
7961,1,824,84,78,78,11002,316
7535,5,584,95,95,100,10365,301
6770,1,683,88,78,100,9664,275
6389,3,595,89,78,95,8272,224
8912,1,596,90,78,100,12394,380
7275,3,631,89,78,100,10256,295
5286,1,499,92,78,100,7703,182
2979,1,725,82,60,100,4642,196
7975,4,623,80,43,95,10759,284
7644,6,653,79,43,95,10187,250
6963,1,653,84,60,100,8973,280
7206,0,716,82,60,95,10407,299
7315,3,680,83,60,100,10214,279
7569,4,714,87,78,100,10012,270
7016,2,693,91,95,100,10065,284
7863,4,615,94,100,95,10335,277
3119,0,793,91,100,100,5030,174
6214,5,672,93,100,95,8450,209
8592,4,675,93,100,100,11450,330
8185,1,639,95,100,100,11025,323
4276,4,632,92,95,100,6257,251
8821,2,660,92,95,95,11782,339
7305,0,615,93,95,95,10467,276
7372,0,597,95,100,100,10139,294
6119,4,494,97,100,100,8144,198
7454,4,710,90,100,78,9815,271
7811,3,521,97,100,95,10403,250
8229,5,617,94,100,100,10898,308
7634,1,609,92,100,100,10038,266
8221,3,567,90,100,100,10927,296
7816,2,591,86,100,95,10678,311
1411,0,689,81,100,95,2321,104
8848,2,648,93,100,100,11903,336
7053,0,739,92,100,100,9907,289
8089,4,536,96,100,100,11147,323
3151,1,770,90,95,100,4772,191
8428,5,562,95,95,100,11615,286
6071,2,501,96,95,100,8396,210
7690,0,613,93,95,100,9931,297
6468,2,631,93,95,100,8629,253
903,2,159,82,78,100,1296,44
7070,0,432,93,78,100,9279,338
6841,0,463,92,78,100,9116,309
5976,0,471,87,60,100,8016,238
4516,0,491,85,60,95,6323,221
7781,2,488,82,43,100,9908,299
3400,0,504,73,25,100,4500,194
5085,1,406,86,60,95,7960,362
8372,17,574,73,25,95,12764,348
7581,6,444,83,43,100,11013,335
8152,0,559,69,43,100,10378,292
4830,0,590,75,60,95,6541,241
8764,0,471,89,78,100,11526,310
10037,1,407,97,95,100,13202,502
4314,0,598,93,100,100,6055,260
4924,1,555,95,100,95,6355,244
5327,2,573,95,100,100,7179,263
6627,3,492,97,100,100,8196,293
4677,0,514,95,100,95,6640,273
6063,2,591,94,100,95,7305,282
7117,0,414,98,100,100,9307,303
5239,0,536,95,100,95,7225,307
11077,1,469,97,100,100,13906,403
6853,0,515,97,100,100,9222,335
6093,0,501,97,100,100,8330,281
6030,0,544,96,100,100,8305,415
7196,1,484,97,100,100,9232,344
5900,1,474,97,100,100,7470,327
5455,0,553,95,100,95,6566,271
6358,0,572,93,95,100,8598,286
7724,0,510,94,95,95,10212,360
8798,0,425,98,100,100,11374,463
10147,0,343,99,100,100,12997,544
